#,src（来源实体）,dst（目标实体）,relation description（关系描述）,关系描述（中文）,source chunk 摘要（前500字）,conf_score,variant,★ taxonomy,★ manual_label,? notes / 备注
1,AIR Lyndhurst Hall,Interstellar Soundtrack,The Interstellar soundtrack was also recorded at AIR Lyndhurst Hall in late spring 2014.,《星际穿越》原声带于2014年春末在AIR林德赫斯特音乐厅录制。,"concept of the film, though it had not yet been written. Zimmer was originally skeptical, noting that he had written a ""tiny, tiny little fragile"" piece while Nolan had described an intense, epic space film. However, Nolan reassured Zimmer that the piano piece provided ""the heart"" of the film. The piece can be heard at the conclusion of the film.For the film's signature organ, Zimmer specifically requested that organist Roger Sayer, the music director of Temple Church in London, play the churc",,baseline,,correct,Chunk明确提及recorded at AIR Lyndhurst Hall in late spring 2014，完全支持。
41,International Telecommunication Union (ITU),Mobile-Satellite Service,"The ITU allocates frequency bands for various satellite services, including the Mobile-Satellite Service.",欧盟（European Union）是一个由欧洲各国组成的政治经济联盟。,"only about half of the dipoles properly separated from each other, the project was able to successfully experiment and communicate using frequencies in the SHF X band spectrum.An immediate antecedent of the geostationary satellites was the Hughes Aircraft Company's Syncom 2, launched on 26 July 1963. Syncom 2 was the first communications satellite in a geosynchronous orbit. It revolved around the earth once per day at constant speed, but because it still had north鈥搒outh motion, special equipme",,baseline,E. cross_chunk_hallucination,wrong,Chunk为Syncom卫星技术内容，未提及ITU或Mobile-Satellite Service频谱分配。
42,Jacobo,Mr. Howlands,Mr. Howlands and Jacobo collaborate to fight against the rising activities of the Mau Mau organization.,Faithless 发行过专辑《Sunday 8PM》。,"Weep Not, Child is a 1964 novel by Kenyan author Ng农g末 wa Thiong'o. It was his first novel, published in 1964 under the name James Ngugi. It was among the African Writers Series. It was the first English language|English novel to be published by an East African. Thiong'o's works deal with the relationship between Africans and white settlers in colonial Kenya, and are heavily critical of colonial rule. Specifically, Weep Not, Child deals with the Mau Mau Uprising, and ""the bewildering disposses",,baseline,,correct,"Chunk为《Weep Not, Child》小说内容，Jacobo与Howlands均为小说人物，其对抗Mau Mau的叙事直接支持。"
43,John Cabot,John Cabot Catholic Secondary School,John Cabot Catholic Secondary School in Mississauga is named after the explorer.,Faithless 于1996年发行了代表作《Insomnia》。,"400th anniversary. Denis William Eden painting: John Cabot and his sons receive the charter from Henry VII to sail in search of new lands (1910), at Houses of Parliament. Giovanni Caboto Club (est. 1925), an Italian club located in Windsor, Ontario. A 1952 statue of the explorer is at Bristol's City Hall. John Cabot University is a United States-affiliated university established in 1972 in Rome, Italy. A 1985 bronze statue of the explorer by Stephen Joyce, is located at Bristol Harbourside. A",,baseline,A. unsupported_relation,ambiguous,Chunk提及Giovanni Caboto Club和John Cabot University，但未明确提及Mississauga的John Cabot Catholic Secondary School。
44,John Westley,John Wesley,"John Westley was the grandfather of John Wesley, the founder of Methodism.",Fernando Alonso 曾效力于雷诺车队（Renault F1 Team）参加一级方程式赛车。,"1137) was the Archbishop of Cologne from 1131 until 1137. Bruno II of Berg was a son of Count Adolf III of Berg. In 1119 he was mentioned as a Provost in Cologne, and he became the provost of St. Gereon in Cologne in 1127. In 1130 he was elected the Archbishop of Trier, but refused. Bruno was selected on Christmas Day of 1131 by King Lothar of Germany and a papal legate as the Archbishop of Cologne. In 1133 he converted his own keep at Altenberg into a monastery. Bruno died in 1137 in Apulia o",,baseline,,correct,Chunk Passage 10原文：Rev. John Wesley (1636-98) was the grandfather of John Wesley，直接支持。
45,Joint Learning Model,Conditional Random Fields (CRF),The joint learning model uses a CRF layer on top of the BiLSTM to capture label dependencies and make final tagging decisions.,Fernando Alonso 是两届一级方程式世界冠军得主。,"Introduction There exists a class of language construction known as pun in natural language texts and utterances, where a certain word or other lexical items are used to exploit two or more separate meanings. It has been shown that understanding of puns is an important research question with various real-world applications, such as human-computer interaction BIBREF0 , BIBREF1 and machine translation BIBREF2 . Recently, many researchers show their interests in studying puns, like detecting pun",,baseline,E. cross_chunk_hallucination,wrong,Chunk为双关语检测研究，与BiLSTM-CRF联合学习模型用于序列标注任务无关，典型跨chunk幻觉。
46,Kam W. Leong,InP Quantum Dots,Kam W. Leong co-authored work on the synthesis and cytotoxicity of luminescent InP quantum dots.,《搏击俱乐部》（Fight Club）的主题涉及对消费主义的批判。,"Publications of Kam W. Leong Publications of Kam W. Leong :chronological alphabetical combined bibtex listing: K.W. Leong, Synthetic mast-cell granules as adjuvants to promote and polarize immunity in lymph nodes (2013) [PDF] K.W. Leong, Tuning Physical Properties of Nanocomplexes through Microfluidics-Assisted Confinement (2013) [PDF] K.W. Leong, Nucleic acid scavengers inhibit thrombosis without increasing bleeding (2013) [PDF] K.W. Leong, Nanotopography as modulator of human mesenchymal ste",,baseline,H. vague_ambiguous_but_useful,ambiguous,Chunk为Leong发表论文列表，InP量子点论文可能在列表中但600字截取范围内无法确认，模糊但有检索价值。
47,Kam W. Leong,Quantum Dot-Based Theranostics,Kam W. Leong co-authored a review on quantum dot-based theranostics.,《搏击俱乐部》由大卫·芬奇（David Fincher）执导。,"Publications of Kam W. Leong Publications of Kam W. Leong :chronological alphabetical combined bibtex listing: K.W. Leong, Synthetic mast-cell granules as adjuvants to promote and polarize immunity in lymph nodes (2013) [PDF] K.W. Leong, Tuning Physical Properties of Nanocomplexes through Microfluidics-Assisted Confinement (2013) [PDF] K.W. Leong, Nucleic acid scavengers inhibit thrombosis without increasing bleeding (2013) [PDF] K.W. Leong, Nanotopography as modulator of human mesenchymal ste",,baseline,H. vague_ambiguous_but_useful,ambiguous,Chunk为Leong发表论文列表，量子点theranostics综述可能在列表中但截取范围内无法确认。
48,Larimer County Sheriff's Department,Timnath Police Department,Police services in Timnath are provided by the Timnath Police Department and the Larimer County Sheriff's Department.,Fred Astaire 曾与 Ginger Rogers 合作出演多部好莱坞歌舞片。,"Passage 1: Cropper, Kentucky Cropper is an unincorporated community within Shelby County, Kentucky, United States. It was also known as Croppers Depot. Their post office is closed. The town of Cropper (Population Cal. at 205 in 2010) is located in northeast Shelby County, Kentucky. The origin of its name comes from the town's founder James Cropper, a blacksmith and store keeper who was the first person to build a house there sometime in the 1790s. He also was the town's first postmaster. The m",,baseline,E. cross_chunk_hallucination,wrong,"Chunk为Cropper, Kentucky地方历史，与Colorado州Timnath警察局及Larimer郡警局无关。"
49,Law & Order,ER,"ER is NBC's third longest-running drama, after Law & Order and Law & Order: Special Victims Unit.",Fred Astaire 以其精湛的踢踏舞技艺而闻名于世。,"in the former Linda Vista Hospital in Los Angeles, an old facility that had ceased operating in 1990. A set modeled after Los Angeles County General Hospital's emergency room was built soon afterward at the Warner Bros. studios in Burbank, California, although the show makes extensive use of location shoots in Chicago, most notably the city's famous ""L"" train platforms.Warren Littlefield, running NBC Entertainment at the time, was impressed by the series: ""We were intrigued, but we were admitt",,baseline,,correct,Chunk描述ER剧集，Law & Order作为src表达其排名高于ER，关系本身描述正确（ER为NBC第三长寿剧）。
50,Lockheed Missiles and Space Company,GKC (Colin) Campbell,GKC (Colin) Campbell served as the program manager at Lockheed Missiles and Space Company for the ATS-6 antenna project.,Green Day 发行过专辑《American Idiot》。,"(595 W beginning of life). Electric power was supplied during eclipses by two Nickel cadmium batteries of 15-A路h capacity, powering a regulated 30.5-V bus. The satellite dimensions in orbit were 15.8-metre (52 ft) width by 8.2-metre (27 ft) height. This deployable antenna parabola was designed and developed by Lockheed Missiles and Space Company (LMSC), now Lockheed Martin, under subcontract to Fairchild Aerospace, after several years of small study contracts at LMSC. The program manager at LM",,baseline,,correct,Chunk原文：The program manager at LMSC was GKC (Colin) Campbell，直接支持。
51,Major League Baseball,Defensive Shift,"In September 2022, Major League Baseball announced a ban on extreme infield defensive shifts, effective starting in 2023.",Green Day 于2004年发行了专辑《American Idiot》。,"to the reserve-clause contracts. The agreement also set up a formal classification system for minor leagues, the forerunner of today's system that was refined by Branch Rickey. Other recognized leagues Several other early defunct baseball leagues are officially considered major leagues, and their statistics and records are included with those of the two current major leagues. In 1969, the Special Baseball Records Committee of Major League Baseball officially recognized six major leagues: the N",,baseline,A. unsupported_relation,ambiguous,Chunk为MLB历史及保留条款，未提及2022年极端防守换位禁令，chunk不支持。
52,Major League Baseball,Rob Manfred,"Rob Manfred is the current Commissioner of Baseball, the chief executive of MLB.",Grimes 与亿万富翁 Elon Musk 育有子女。,"Passage 1: Huntington Stadium Huntington Stadium (formerly Ryedale Stadium) is the former stadium of English rugby league teams York Wasps, and York City Knights. History The stadium, which was financed by Ryedale District Council and was initially named the Ryedale Stadium, was completed in October 1989.York Wasps played their first ever match at the Huntington Stadium when they lost to Hull Kingston Rovers 36鈥?6 in front of a crowd of 3,105.2009 saw the first ever game at the stadium live on",,baseline,E. cross_chunk_hallucination,wrong,Chunk为Huntington Stadium（英式橄榄球）内容，与MLB或Rob Manfred完全无关。
53,Mara,Beacon Hospital,Mara died at the Beacon Hospital after a long illness in 2016.,Grimes 的音乐风格融合了电子音乐、流行乐与实验音乐元素。,"made innovations in how to operate public relations for the party, including holding opposition press briefings. He also tried to increase the electability of Haughey, particularly among young people. Mara adopted techniques of electioneering from US politics for the campaign for the 1987 Irish general election. He devised a strategy for the election by consulting with a broad range of people, to aid re-election. When the party went back into government in 1987 with Haughey as Taoiseach, Mara",,baseline,A. unsupported_relation,ambiguous,Chunk描述P.J.Mara的政治生涯，未提及其在Beacon Hospital的去世，chunk不支持此具体事实。
54,Meg Griffin,Alec Sulkin,"Alec Sulkin, a Family Guy showrunner, confirmed plans for an episode where Meg Griffin comes out as a lesbian.",Guy Fawkes 是1605年英国火药阴谋（Gunpowder Plot）的参与者之一。,"Passage 1: Meg Griffin Meg Griffin is a fictional character in the animated television series Family Guy. Meg is the eldest child of Peter and Lois Griffin and older sister of Stewie and Chris, but is also the family's scapegoat who receives the least of their attention and tolerates the brunt of their abuse. She is often bullied, belittled, ridiculed, and ignored. Meg first appeared on television, along with the rest of the Griffin family, in a 15-minute short on December 20, 1998. She was cr",,baseline,A. unsupported_relation,ambiguous,Chunk描述Meg Griffin角色性质，700字范围内未提及Alec Sulkin确认女同剧情计划。
55,Metalworks Institute,Metalworks Studios,"Metalworks Institute's campus is adjacent to Metalworks Studios, and students use the same professional equipment.",盖伊·福克斯面具被广泛用于电影《V字仇杀队》（V for Vendetta）中的反英雄形象。,"founded in 2005 and is registered as a Private Career College under the Private Career Colleges Act, 2005. Metalworks Institute Fredericton was founded in 2020 and is a Private Occupational Training Organization registered under the Private Occupational Training Act, 1996. Metalworks Institute offers diploma and advanced diploma programs, on-campus and online, as well as individual certificate courses. The Institute includes over 80 full-time staff members and has an enrollment of more than 25",,baseline,H. vague_ambiguous_but_useful,ambiguous,Chunk描述Metalworks Institute基本信息，毗邻Metalworks Studios的关系可能在后续文本，chunk部分支持。
56,Miss Turnover,The Children,Miss Turnover is the governess who will take care of the children at Kingscote and later at Eastbourne.,黑格尔（Hegel）是德国古典唯心主义哲学的重要代表人物。,"all; if she were nice, she wouldn't have such ideas as that. I tell Miss Vane that at Bangor we think such ideas vulgar; but then she looks as though she had never heard of Bangor. I often want to shake her, though she _is_ so sweet. If she isn't angry with the people who make her feel that way, I am angry for her. I am angry with her brother too, for she is evidently very much afraid of him, and this gives me some further insight into the subject. She thinks everything of her brother, and thi",,baseline,A. unsupported_relation,ambiguous,Chunk为Henry James小说Miranda Mope视角，未提及Miss Turnover家庭教师。
57,Montana,Alberta,The border between Alberta and Montana lies along the 49th parallel north.,黑格尔以辩证法哲学方法论而著称，对后世哲学影响深远。,"came across in April 2018 for a total of just over 28,000. Border lengths and regions The length of the terrestrial boundary is 8,891 km (5,525 mi), of which 6,416 km (3,987 mi) is against the contiguous 48 states, and 2,475 km (1,538 mi) against Alaska. Eight out of thirteen provinces and territories of Canada and thirteen out of fifty U.S. states are located along this international boundary. Yukon The Canadian territory of Yukon shares its entire western border with the U.S. state of Alaska",,baseline,,correct,Chunk描述加拿大美国边境，包含49th parallel内容，Alberta-Montana边境直接支持。
58,Moonshadow,Princess Theatre,"The musical Moonshadow premiered at the Princess Theatre in Melbourne, Australia, in May 2012.",亨利·福特（Henry Ford）是福特汽车公司（Ford Motor Company）的创始人。,"and artist, for his return to secular music, when the son brought a guitar back into the house, which Islam began playing. Muhammad's professional name is Yoriyos and his debut album was released in February 2007. Yoriyos created the art on Islam's album An Other Cup, something that Cat Stevens did for his own albums in the 1970s. In May 2006, in anticipation of his forthcoming new pop album, the BBC1 programme Imagine aired a 49-minute documentary with Alan Yentob called Yusuf: The Artist for",,baseline,A. unsupported_relation,ambiguous,Chunk为Cat Stevens回归音乐描述，未提及Moonshadow音乐剧或Princess Theatre。
59,My Way,Claude Fran莽ois,"Claude Fran莽ois composed the original tune to which ""My Way"" was set.",亨利·福特于1908年推出了划时代的福特T型汽车（Model T）。,"song, his daughter Tina says the singer came to hate the song: ""He didn't like it. That song stuck and he couldn't get it off his shoe. He always thought that song was self-serving and self-indulgent."" Charts Certifications Versions David Bowie reportedly wrote the first English language lyrics to Claude Fran莽ois's original tune, though the lyrics and performance were only informally recorded and never commercially published. Dorothy Squires In the midst of Sinatra's multiple runs on the UK Si",,baseline,,correct,Chunk原文：David Bowie wrote the first English language lyrics to Claude Francois's original tune，支持Claude Francois作曲。
60,Napoleon,Battle of Marengo,Napoleon commanded the French forces that won the Battle of Marengo.,休·劳瑞（Hugh Laurie）在美剧《豪斯医生》（House M.D.）中出色地饰演格雷戈里·豪斯医生。,"the bridge was completed in the morning of 20 June, Christian's baggage started to cross the river. Tilly planned to force Christian's troops back to the H枚chst walls and the Main, isolating the two thousand troops in Sossenheim. Hence, Christian ordered his troops to withdraw over the pontoon bridge towards Kelsterbach, but under the Catholic artillery fire the withdrawal turned into a headlong flight. The bridge broke after only 3,000 men had crossed and many of Christian's soldiers and hors",,baseline,E. cross_chunk_hallucination,wrong,Chunk为1622年霍希斯特战役，与拿破仑及1800年马伦戈战役完全无关。
61,Nicholas Eftimiades,Chinese Intelligence Operations,"Nicholas Eftimiades authored the book ""Chinese Intelligence Operations,"" which brought him into public view.",《豪斯医生》（House M.D.）在Fox电视网播出。,"at Milford in Surrey from 1890 to 1895. While teaching he began, as a sideline, writing a number of school textbooks under the nom-de-plume A. W. S. Methuen, of which his series on French, Greek and Latin were best known. Among his works were books on gardening and current affairs. In June 1889, Methuen began to publish and market his own textbooks under the label Methuen & Co. (later Methuen Publishing Ltd.). Two months later he formally adopted Methuen as his surname. His first success at pu",,baseline,E. cross_chunk_hallucination,wrong,Chunk为Methuen出版社历史，与Nicholas Eftimiades或Chinese Intelligence Operations无关。
62,Nuclear Liquid-Gas Transition,Baryon Chemical Potential,The critical baryon chemical potential for the first-order nuclear liquid-gas transition is determined as a function of quark mass and inverse gauge coupling.,《哈利·波特》系列小说由英国作家J.K.罗琳（J.K. Rowling）创作。,"Paper Info Title: Nuclear Liquid-Gas Transition in the Strong Coupling Regime of Lattice QCD Publish Date: 28 Mar 2023 Author List: J Kim (from Institute for Advanced Simulation (IAS-4), Forschungszentrum J眉lich), P Pattanaik (from Fakult盲t f眉r Physik, Bielefeld University), W Unger (from Fakult盲t f眉r Physik, Bielefeld University) Figure FIG. 1.Typical 2-dimension configuration at 尾 = 1.0, at non-zero quark mass, temperature, chemical potential.The black dots are monomers, the blue lines are d",,baseline,,correct,Chunk为该论文正文，明确提及baryon chemical potential作为核液气转变的研究参数，完全支持。
63,Nuclear Liquid-Gas Transition,Inverse Gauge Coupling,The study determines the nuclear liquid-gas transition's dependence on the inverse gauge coupling parameter 尾.,《哈利·波特》系列小说由布卢姆斯伯里出版社（Bloomsbury Publishing）出版。,"Paper Info Title: Nuclear Liquid-Gas Transition in the Strong Coupling Regime of Lattice QCD Publish Date: 28 Mar 2023 Author List: J Kim (from Institute for Advanced Simulation (IAS-4), Forschungszentrum J眉lich), P Pattanaik (from Fakult盲t f眉r Physik, Bielefeld University), W Unger (from Fakult盲t f眉r Physik, Bielefeld University) Figure FIG. 1.Typical 2-dimension configuration at 尾 = 1.0, at non-zero quark mass, temperature, chemical potential.The black dots are monomers, the blue lines are d",,baseline,,correct,Chunk为同一论文，明确提及inverse gauge coupling作为研究参数，完全支持。
64,Ottoman Empire,Battle of Sziksz贸,The Ottoman Empire participated in and was defeated at the Battle of Sziksz贸 by the Kingdom of Hungary.,James Brown 被誉为灵魂乐教父。,"the bridge was completed in the morning of 20 June, Christian's baggage started to cross the river. Tilly planned to force Christian's troops back to the H枚chst walls and the Main, isolating the two thousand troops in Sossenheim. Hence, Christian ordered his troops to withdraw over the pontoon bridge towards Kelsterbach, but under the Catholic artillery fire the withdrawal turned into a headlong flight. The bridge broke after only 3,000 men had crossed and many of Christian's soldiers and hors",,baseline,E. cross_chunk_hallucination,wrong,Chunk为1622年霍希斯特战役，与奥斯曼帝国及1588年Szikso战役完全无关。
65,Pangasinan School of Arts and Trades (PSAT),Isabelo Artacho,"Through Governor Isabelo Artacho, the Pangasinan Trade School building was constructed in 1907.",James Brown 的音乐作品对嘻哈音乐的形成与发展产生了深刻影响。,"on a ten-ton boulder of Bronx schist, and its text reads, ""Let those who find pleasure in this garden remember Elizabeth Gertrude Knight Britton, lover of wildflowers and ardent advocate of their protection"". The garden is now known as the Native Plant Garden, and the boulder as Britton Rock.Today, the Elizabeth Gertrude Knight Britton archive is held by the NYBG Mertz Library. It includes personal papers, manuscripts and published research, artwork and photographs, and printing plates. The ar",,baseline,E. cross_chunk_hallucination,wrong,Chunk为Elizabeth Gertrude Britton及NYBG内容，与Pangasinan学校及Artacho总督无关。
66,Paula Santiago,Sorbonne,Paula Santiago studied Literature and Art History at the Sorbonne in Paris.,詹姆斯·乔伊斯（James Joyce）是爱尔兰现代主义文学的代表作家。,"After sailing northwards along the coast he encountered and only narrowly avoided a group of shoals, subsequently called the Houtman Abrolhos. De Houtman then made landfall in the region known as Eendrachtsland, which the explorer Dirk Hartog had encountered earlier. In his journal, De Houtman identified these coasts as Locach, mentioned by Marco Polo to have been a country far south of China and indicated as such on maps by cartographers Plancius and Linschoten. See also John Davis 鈥?English",,baseline,A. unsupported_relation,ambiguous,Chunk Passage 5提及Paula Santiago出生地，但700字内未提及索邦求学经历，chunk不支持。
67,Pelvis,Sacrum,The Sacrum attaches to the Coxal Bones to help form the Pelvis.,詹姆斯·乔伊斯最具代表性的作品是长篇小说《尤利西斯》（Ulysses）。,"counted as facial) Ethmoid bone (sometimes counted as facial) Facial bones (15) Nasal bones (2) Maxillae (upper jaw) (2) Lacrimal bone (2) Zygomatic bone (cheek bones) (2) Palatine bone (2) Inferior nasal concha (2) Vomer (1) Hyoid bone (1) Mandible (1) Middle ears (6 bones in total, 3 on each side) Malleus (2) Incus (2) Stapes (2) Upper limb (arm and forearm) and hand There are a total of 64 bones in the arms, 32 in each arm Upper arm bones (6 bones in total; 3 on each side) Humerus (2) Pecto",,baseline,H. vague_ambiguous_but_useful,ambiguous,Chunk为骨骼结构内容，骶骨与骨盆关系可能在后续段落，chunk仅部分支持，事实本身正确。
68,Peter Levin,Starsky & Hutch,"Peter Levin directed episodes of the television series ""Starsky & Hutch.""",Jay-Z 发行过专辑《The Blueprint》。,"Passage 1: Olav Aaraas Olav Aaraas (born 10 July 1950) is a Norwegian historian and museum director. He was born in Fredrikstad. From 1982 to 1993 he was the director of Sogn Folk Museum, from 1993 to 2010 he was the director of Maihaugen and from 2001 he has been the director of the Norwegian Museum of Cultural History. In 2010 he was decorated with the Royal Norwegian Order of St. Olav. Passage 2: S. N. Mathur S.N. Mathur was the Director of the Indian Intelligence Bureau between September 1",,baseline,E. cross_chunk_hallucination,wrong,Chunk为Olav Aaraas和Ian Barry传记，未提及Peter Levin或Starsky & Hutch。
69,Pohang Baseball Stadium,Samsung Lions,The Pohang Baseball Stadium is used as a second home venue for the KBO League team Samsung Lions.,Jay-Z 于2001年发行了里程碑式专辑《The Blueprint》。,"and away. Furthermore, each team has an interleague ""natural rival"" (in many cases its counterpart in the same metro area) with which it plays two home games and two away games each year. With an odd number of teams in each league (15), it is necessary to have two teams participate in interleague play for most days in the season, except when two or more teams have a day off. Each team plays 20 interleague games throughout the season, usually with just one interleague game per day, but for one",,baseline,E. cross_chunk_hallucination,wrong,Chunk为MLB联赛赛制，与浦项棒球场或三星狮队完全无关。
70,Proposed Method,Word Similarity Test,"The proposed method is evaluated using word similarity tests, where it often outperforms the original GloVe.",Jimi Hendrix 是二十世纪最具影响力的电吉他手之一。,"is number of categories in SEMCAT, INLINEFORM8 ) in SEMCAT respectively. INLINEFORM9 is the set of words in the INLINEFORM10 category in SEMCAT and INLINEFORM11 is the number of words in INLINEFORM12 . INLINEFORM13 corresponds to the minimum number of words required to construct a semantic category (i.e. represent a concept). INLINEFORM14 represents the set of INLINEFORM15 words that have the highest ( INLINEFORM16 ) and lowest ( INLINEFORM17 ) values in INLINEFORM18 dimension of the embedding",,baseline,H. vague_ambiguous_but_useful,ambiguous,Chunk为词嵌入评估论文，word similarity test是NLP标准评估方法，可能在论文中，模糊但有检索价值。
71,Pseudo-Likelihood Method,PLM with L2 Regularization,PLM with L2 regularization is a specific variant of the Pseudo-Likelihood Method designed to improve the inference process.,Jimi Hendrix 曾在1969年的伍德斯托克音乐节（Woodstock）上献上传奇演出。,"\\section{Introduction} Given a data set and a model with some unknown parameters, the inverse problem aims to find the values of the model parameters that best fit the data. In this work, in which we focus on systems of interacting elements, the inverse problem concerns the statistical inference of the underling interaction network and of its coupling coefficients from observed data on the dynamics of the system. Versions of this problem are encountered in physics, biology (e.g., \\cite{Balak",,baseline,H. vague_ambiguous_but_useful,ambiguous,Chunk为伊辛模型统计推断论文，伪似然法是核心方法，L2正则化变体在此类研究中常见，模糊但有检索价值。
72,QD-NEVPT2 Calculations,def2-TZVP Basis Set,The def2-TZVP basis set is used in QD-NEVPT2 multireference calculations for molecule 5.,约翰·列侬（John Lennon）是摇滚乐队披头士（The Beatles）的创始成员之一。,"of the orbital densities of SOMOs, and not the hybridized HOMO and LUMO, proves the open-shell ground state of assigned 5OS. Measurements of the monoradical species with a doublet ground state are shown in Supplementary Fig. . Unexpectedly, another species of 5 was also experimentally observed that exhibited a closedshell ground state. In contrast to 5OS, where the frontier orbitals correspond to the SOMOs 蠄1 and 蠄2, DFT calculations predict orbitals of different shapes and symmetries for 5par",,baseline,,correct,Chunk为有机分子量化计算论文，def2-TZVP是NEVPT2计算的标准基组，论文上下文直接支持此边。
73,Queen Elizabeth Ii,The King's Speech,"Queen Elizabeth II reportedly watched the film and was touched by the moving portrayal of her father, King George VI.",约翰·列侬曾与妻子小野洋子（Yoko Ono）合作创作音乐作品。,"use ""soft light"", but Hooper wanted to use a harsher glare, which gives a more contemporary feel, and thus a greater emotional resonance. To achieve the effect, the lighting team erected huge blackout tents over the Georgian buildings and used large lights filtered through Egyptian cotton. Historical accuracy Several events in the film did not happen, or were exaggerated. The visual blog Information is Beautiful deduced that, while taking creative licence into account, the film was 74.4% accur",,baseline,A. unsupported_relation,ambiguous,Chunk描述King's Speech历史准确性，700字范围内未提及Elizabeth II观看此片的反应。
74,Raised on Radio,Columbia Records,"The album ""Raised on Radio"" was released on the Columbia Records label in 1986.",约翰尼·卡什（Johnny Cash）有时被称为乡村音乐的良心。,"founded in 2005 and is registered as a Private Career College under the Private Career Colleges Act, 2005. Metalworks Institute Fredericton was founded in 2020 and is a Private Occupational Training Organization registered under the Private Occupational Training Act, 1996. Metalworks Institute offers diploma and advanced diploma programs, on-campus and online, as well as individual certificate courses. The Institute includes over 80 full-time staff members and has an enrollment of more than 25",,baseline,E. cross_chunk_hallucination,wrong,Chunk为Metalworks Institute内容，与Raised on Radio专辑及Columbia Records无关。
75,Raised on Radio,Journey,"""Raised on Radio"" is the ninth studio album by the American rock band Journey.",约翰尼·卡什曾在监狱中举办演唱会，并将其录制为现场专辑。,"founded in 2005 and is registered as a Private Career College under the Private Career Colleges Act, 2005. Metalworks Institute Fredericton was founded in 2020 and is a Private Occupational Training Organization registered under the Private Occupational Training Act, 1996. Metalworks Institute offers diploma and advanced diploma programs, on-campus and online, as well as individual certificate courses. The Institute includes over 80 full-time staff members and has an enrollment of more than 25",,baseline,E. cross_chunk_hallucination,wrong,Chunk为Metalworks Institute内容，与Journey乐队及其第九张专辑无关。
76,Ringo-en No Sh艒jo,Koji Shima,"Koji Shima directed the 1952 Japanese film ""Ringo-en No Sh艒jo.""",卡尔·马克思（Karl Marx）与弗里德里希·恩格斯共同撰写了《共产党宣言》。,"Passage 1: The Magnificent Dope The Magnificent Dope is a 1942 American comedy film released by 20th Century Fox. It is also known as Lazy Galahad, Strictly Dynamite and The Magnificent Jerk. Plot Dwight Dawson runs a hype-driven self-improvement course in the Dale Carnegie mode. He and his partner Horace Hunter are seeking new sales ideas as enrollment has declined sharply. Their chief of marketing, Claire Harris, who is also Dwight's fianc茅e, comes up with an idea to announce a contest seeki",,baseline,E. cross_chunk_hallucination,wrong,Chunk为1942年美国喜剧片，与1952年日本电影Ringo-en No Shojo无关。
77,Saoud bin Abdulrahman Stadium,Al Janoub Stadium,Al Janoub Stadium is being built in the vicinity of Saoud bin Abdulrahman Stadium for the 2022 FIFA World Cup.,卡尔·马克思与弗里德里希·恩格斯（Friedrich Engels）合著了《共产党宣言》（The Communist Manifesto）。,"Passage 1: Huntington Stadium Huntington Stadium (formerly Ryedale Stadium) is the former stadium of English rugby league teams York Wasps, and York City Knights. History The stadium, which was financed by Ryedale District Council and was initially named the Ryedale Stadium, was completed in October 1989.York Wasps played their first ever match at the Huntington Stadium when they lost to Hull Kingston Rovers 36鈥?6 in front of a crowd of 3,105.2009 saw the first ever game at the stadium live on",,baseline,E. cross_chunk_hallucination,wrong,Chunk为Huntington Stadium（英式橄榄球），与Saoud及Al Janoub Stadium无关。
78,Sherril Lynn Rettino,John Rettino,Sherril Lynn Rettino was married to John Rettino.,Lady Gaga 凭借歌曲《Poker Face》在格莱美颁奖礼上获奖。,"Passage 1: Lynn Reynolds Lynn Fairfield Reynolds (May 7, 1889 鈥?February 25, 1927) was an American director and screenwriter. Reynolds directed more than 80 films between 1915 and 1928. He also wrote for 58 films between 1914 and 1927. Reynolds was born in Harlan, Iowa and died in Los Angeles, California, from a self-inflicted gunshot wound. Death Returning home in 1927 after being snowbound in the Sierras for three weeks, Reynolds telephoned his wife, actress Kathleen O'Connor, to arrange a d",,baseline,E. cross_chunk_hallucination,wrong,Chunk为美国导演Lynn Reynolds传记，与Sherril Lynn Rettino及John Rettino无关。
79,Super Grit Cowboy Band,Hoodswamp Records,"The Super Grit Cowboy Band records and releases albums on its own label, Hoodswamp Records.",Lady Gaga 于2008年发行了首张专辑《The Fame》。,"founded in 2005 and is registered as a Private Career College under the Private Career Colleges Act, 2005. Metalworks Institute Fredericton was founded in 2020 and is a Private Occupational Training Organization registered under the Private Occupational Training Act, 1996. Metalworks Institute offers diploma and advanced diploma programs, on-campus and online, as well as individual certificate courses. The Institute includes over 80 full-time staff members and has an enrollment of more than 25",,baseline,E. cross_chunk_hallucination,wrong,Chunk为Metalworks Institute内容，与Super Grit Cowboy Band及Hoodswamp Records无关。
80,Syncom 2,Syncom 3,Syncom 3 was the successor to Syncom 2 and achieved the first true geostationary orbit.,拉丁格莱美奖（Latin Grammy Award）于2000年正式设立。,"only about half of the dipoles properly separated from each other, the project was able to successfully experiment and communicate using frequencies in the SHF X band spectrum.An immediate antecedent of the geostationary satellites was the Hughes Aircraft Company's Syncom 2, launched on 26 July 1963. Syncom 2 was the first communications satellite in a geosynchronous orbit. It revolved around the earth once per day at constant speed, but because it still had north鈥搒outh motion, special equipme",,baseline,,correct,Chunk原文：Its successor Syncom 3 was the first geostationary communications satellite，完全支持。
